step,tasks_completed_total,total_movement_cost,deadlock_count,last_step_cpu_ms,total_cpu_ms,last_planning_ms,total_planning_ms,algo_nodes_expanded_last,algo_heap_moves_last,algo_generated_nodes_last,algo_valid_expansions_last,requests_created_total,request_wait_ticks_sum
247,16,451.000000,23,0.000000,112.000000,0.000000,109.000000,0,0,0,0,0,0
248,16,453.000000,23,0.000000,112.000000,0.000000,109.000000,0,0,0,0,0,0
249,16,454.000000,23,0.000000,112.000000,0.000000,109.000000,0,0,0,0,0,0
250,16,455.000000,23,0.000000,112.000000,0.000000,109.000000,0,0,0,0,0,0
251,16,457.000000,23,0.000000,112.000000,0.000000,109.000000,0,0,0,0,0,0
252,16,459.000000,23,1.000000,113.000000,0.000000,109.000000,0,0,0,0,0,0
253,16,460.000000,23,5.000000,118.000000,5.000000,114.000000,54,327,112,54,0,0
254,16,461.000000,23,0.000000,118.000000,0.000000,114.000000,0,0,0,0,0,0
255,16,463.000000,23,0.000000,118.000000,0.000000,114.000000,0,0,0,0,0,0
256,16,465.000000,23,0.000000,118.000000,0.000000,114.000000,0,0,0,0,0,0
257,17,466.000000,23,0.000000,118.000000,0.000000,114.000000,0,0,0,0,0,0
258,17,468.000000,23,1.000000,119.000000,1.000000,115.000000,49,237,90,48,0,0
259,17,471.000000,23,0.000000,119.000000,0.000000,115.000000,0,0,0,0,0,0
260,17,473.000000,23,0.000000,119.000000,0.000000,115.000000,0,0,0,0,0,0
261,17,475.000000,23,0.000000,119.000000,0.000000,115.000000,4,16,4,0,0,0
262,17,478.000000,23,0.000000,119.000000,0.000000,115.000000,23,94,23,0,0,0
263,17,481.000000,23,0.000000,119.000000,0.000000,115.000000,6,17,6,0,0,0
264,17,484.000000,23,0.000000,119.000000,0.000000,115.000000,7,21,7,0,0,0
265,17,487.000000,23,0.000000,119.000000,0.000000,115.000000,8,23,8,0,0,0
266,17,490.000000,23,0.000000,119.000000,0.000000,115.000000,9,26,9,0,0,0
267,17,493.000000,23,0.000000,119.000000,0.000000,115.000000,10,29,10,0,0,0
268,17,496.000000,23,0.000000,119.000000,0.000000,115.000000,11,30,11,0,0,0
269,17,499.000000,23,0.000000,119.000000,0.000000,115.000000,12,39,12,0,0,0
270,17,502.000000,23,0.000000,119.000000,0.000000,115.000000,14,51,14,0,0,0
271,17,505.000000,23,0.000000,119.000000,0.000000,115.000000,16,56,16,0,0,0
272,17,508.000000,23,0.000000,119.000000,0.000000,115.000000,18,65,18,0,0,0
273,17,511.000000,23,1.000000,120.000000,1.000000,116.000000,19,68,19,0,0,0
274,17,514.000000,23,0.000000,120.000000,0.000000,116.000000,21,80,21,0,0,0
275,17,516.000000,23,0.000000,120.000000,0.000000,116.000000,26,100,28,1,0,0
276,17,517.000000,23,0.000000,120.000000,0.000000,116.000000,0,0,0,0,0,0
277,17,520.000000,23,5.000000,125.000000,5.000000,121.000000,21,122,61,21,0,0
278,17,522.000000,23,0.000000,125.000000,0.000000,121.000000,0,0,0,0,0,0
279,17,524.000000,23,0.000000,125.000000,0.000000,121.000000,0,0,0,0,0,0
280,17,526.000000,23,1.000000,126.000000,1.000000,122.000000,0,0,0,0,0,0
281,17,528.000000,23,0.000000,126.000000,0.000000,122.000000,0,0,0,0,0,0
282,17,530.000000,23,0.000000,126.000000,0.000000,122.000000,0,0,0,0,0,0
283,17,532.000000,23,0.000000,126.000000,0.000000,122.000000,0,0,0,0,0,0
284,17,534.000000,23,0.000000,126.000000,0.000000,122.000000,0,0,0,0,0,0
285,17,536.000000,23,0.000000,126.000000,0.000000,122.000000,0,0,0,0,0,0
286,17,538.000000,23,0.000000,126.000000,0.000000,122.000000,0,0,0,0,0,0
287,18,540.000000,23,0.000000,126.000000,0.000000,122.000000,0,0,0,0,0,0
288,18,543.000000,23,0.000000,126.000000,0.000000,122.000000,55,250,100,55,0,0
289,18,546.000000,23,1.000000,127.000000,1.000000,123.000000,0,0,0,0,0,0
290,18,548.000000,23,0.000000,127.000000,0.000000,123.000000,0,0,0,0,0,0
291,18,550.000000,23,0.000000,127.000000,0.000000,123.000000,0,0,0,0,0,0
292,18,551.000000,23,0.000000,127.000000,0.000000,123.000000,0,0,0,0,0,0
293,18,552.000000,23,0.000000,127.000000,0.000000,123.000000,0,0,0,0,0,0
294,18,555.000000,23,5.000000,132.000000,5.000000,128.000000,21,121,61,21,0,0
295,18,558.000000,23,0.000000,132.000000,0.000000,128.000000,17,59,17,0,0,0
296,18,560.000000,23,0.000000,132.000000,0.000000,128.000000,0,0,0,0,0,0
297,18,561.000000,23,0.000000,132.000000,0.000000,128.000000,0,0,0,0,0,0
298,18,563.000000,23,0.000000,132.000000,0.000000,128.000000,0,0,0,0,0,0
299,18,566.000000,23,0.000000,132.000000,0.000000,128.000000,0,0,0,0,0,0
300,18,568.000000,23,0.000000,132.000000,0.000000,128.000000,0,0,0,0,0,0
301,18,570.000000,23,1.000000,133.000000,1.000000,129.000000,0,0,0,0,0,0
302,18,572.000000,23,0.000000,133.000000,0.000000,129.000000,0,0,0,0,0,0
303,18,574.000000,23,0.000000,133.000000,0.000000,129.000000,0,0,0,0,0,0
304,18,576.000000,23,0.000000,133.000000,0.000000,129.000000,0,0,0,0,0,0
305,18,578.000000,23,0.000000,133.000000,0.000000,129.000000,0,0,0,0,0,0
306,18,580.000000,23,0.000000,133.000000,0.000000,129.000000,0,0,0,0,0,0
307,18,582.000000,23,0.000000,133.000000,0.000000,129.000000,0,0,0,0,0,0
308,18,584.000000,23,0.000000,133.000000,0.000000,129.000000,0,0,0,0,0,0
309,19,586.000000,23,0.000000,133.000000,0.000000,129.000000,0,0,0,0,0,0
310,19,589.000000,23,1.000000,134.000000,1.000000,130.000000,38,220,70,38,0,0
